Hanzi,Pinyin
爱情,àiqíng
安排,ānpái
安全,ānquán
按时,ànshí
按照,ànzhào
按,àn
百分之,bǎifēnzhī
棒,bàng
包子,bāozi
包,bāo
保护,bǎohù
保证,bǎozhèng
报名,bàomíng
抱,bào
抱歉,bàoqiàn
倍,bèi
本来,běnlái
笨,bèn
比如,bǐrú
毕业,bìyè
遍,biàn
标准,biāozhǔn
表格,biǎogé
表示,biǎoshì
表演,biǎoyǎn
表扬,biǎoyáng
饼干,bǐnggān
并且,bìngqiě
并,bìng
博士,bóshì
不过,búguò
不得不,bùdébù
不管,bùguǎn
不仅,bùjǐn
不但,bùdàn
部分,bùfèn
大部分,dàbùfèn
擦,cā
猜,cāi
猜出来,cāichūlái
材料,cáiliào
参观,cānguān
餐厅,cāntīng
餐,cān
厕所,cèsuǒ
上厕所,shàng cèsuǒ
去厕所,qù cèsuǒ
差不多,chàbuduō
尝,cháng
长城,chángchéng
长江,chángjiāng
场,chǎng
超过,chāoguò
乘坐,chéngzuò
乘,chéng
乘客,chéngkè
成功,chénggōng
成为,chéngwéi
诚实,chéngshí
吃惊,chījīng
重新,chóngxīn
抽烟,chōuyān
出差,chūchāi
出发,chūfā
出生,chūshēng
出现,chūxiàn
厨房,chúfáng
传真,chuánzhēn
窗户,chuānghu
词语,cíyǔ
从来,cónglái
从来不,cóngláibù
从来没,cóngláiméi
粗心,cūxīn
存,cún
错误,cuòwù
答案,dáàn
打扮,dǎban
打扰,dǎrǎo
打印,dǎyìn
打招呼,dǎzhāohu
打折,dǎzhé
打完折,dǎwánzhé
打针,dǎzhēn
大概,dàgài
大使馆,dàshǐguǎn
大约,dàyuē
大夫,dàifu
戴,dài
当,dāng
当...的时候,dāng...deshíhòu
当时,dāngshí
当天,dàngtiān
刀,dāo
导游,dǎoyóu
倒,dào
到处,dàochù
到底,dàodǐ
道歉,dàoqiàn
得,dé
得意,déyì
得奖,déjiǎng
得病,débìng
登机牌,dēngjīpái
等,děng
低,dī
底,dǐ
底部,dǐbù
地点,dìdiǎn
地球,dìqiú
地址,dìzhǐ
掉,diào
verb + 掉,verb + diào
调查,diàochá
检查,jiǎnchá
查,chá
丢,diū
动作,dòngzuò
堵车,dǔchē
堵,dǔ
肚子,dùzi
短信,duǎnxìn
对话,duìhuà
对面,duìmiàn
对于,duìyú
A 对于 B 来说,A duìyú B láishuō
儿童,értóng
而,ér
发生,fāshēng
发展,fāzhǎn
法律,fǎlǜ
翻译,fānyì
烦恼,fánnǎo
反对,fǎnduì
方法,fāngfǎ
方面,fāngmiàn
方向,fāngxiàng
房东,fángdōng
放弃,fàngqì
放暑假,fàngshǔjià
放松,fàngsōng
份,fèn
丰富,fēngfù
否则,fǒuzé
符合,fúhé
付款,fùkuǎn
复印,fùyìn
复杂,fùzá
富,fù
父亲,fùqīn
父亲节,fùqīnjié
负责,fùzé
改变,gǎibiàn
改,gǎi
干杯,gānbēi
感到,gǎndào
感动,gǎndòng
感觉,gǎnjué
感情,gǎnqíng
感谢,gǎnxiè
敢,gǎn
赶,gǎn
干,gàn/gān
刚,gāng
高速公路,gāosùgōnglù
胳膊,gēbo
各,gè
各种各样,gèzhǒnggèyàng
公里,gōnglǐ
功夫,gōngfu
工资,gōngzī
共同,gòngtóng
够,gòu
购物,gòuwù
估计,gūjì
鼓励,gǔlì
故意,gùyì
顾客,gùkè
挂,guà
关键,guānjiàn
观众,guānzhòng
众,zhòng
管理,guǎnlǐ
光,guāng
广播,guǎngbō
广告,guǎnggào
逛,guàng
规定,guīdìng
国籍,guójí
国际,guójì
果汁,guǒzhī
过程,guòchéng
海洋,hǎiyáng
海,hǎi
害羞,hàixiū
寒假,hánjià
寒冷,Hánlěng
汗,hàn
流汗,liúhàn
汗水,hànshuǐ
航班,hángbān
好处,hǎochu
坏处,huàichu
好像,hǎoxiàng
好像...一样,hǎoxiàng...yīyàng
号码,hàomǎ
号,hào
合格,hégé
合适/适合,héshì/shìhé
盒子,hézi
厚,hòu
后悔,hòuhuǐ
互联网,hùliánwǎng
互相,hùxiāng
护士,hùshi
怀疑,huáiyí
回忆,huíyì
活动,huódòng
活泼,huópo
活,huó
火,huǒ
获得,huòdé
基础,jīchǔ
打好基础,dǎ hǎo jīchǔ
激动,jīdòng
积极,jījí
积累,jīlěi
累积,lěijī
即使,jíshǐ
及时,jíshí
寄,jì
技术,jìshù
既然,jìrán
继续,jìxù
计划,jìhuà
记者,jìzhě
加,jiā
加班,jiābān
加油站,jiāyóuzhàn
油,yóu
家具,jiājù
具,jù
假,jiǎ/jià
假话,jiǎhuà
价格,jiàgé
价钱,jiàqián
坚持,jiānchí
减肥,jiǎnféi
减轻,jiǎnqīng
减少,jiǎnshǎo
减压,jiǎnyā
减,jiǎn
建议,jiànyì
将来,jiānglái
奖金,jiǎngjīn
奖,jiǎng
金,jīn
降低,jiàngdī
降落,jiàngluò
交,jiāo
交流,jiāoliú
交通,jiāotōng
郊区,jiāoqū
骄傲,jiāoào
饺子,jiǎozi
教授,jiàoshòu
教育,jiàoyù
接受,jiēshòu
接着,jiēzhe
结果,jiéguǒ
节,jié
节约,jiéyuē
解释,jiěshì
尽管,jǐnguǎn
紧张,jǐnzhāng
禁止,jìnzhǐ
进行,jìnxíng
京剧,jīngjù
精彩,jīngcǎi
经济,jīngjì
经历,jīnglì
经验,jīngyàn
景色,jǐngsè
警察,jǐngchá
竞争,jìngzhēng
竟然,jìngrán
镜子,jìngzi
究竟,jiūjìng
举,jǔ
举办,jǔbàn
举行,jǔxíng
拒绝,jùjué
聚会,jùhuì
距离,jùlí
开玩笑,kāiwánxiào
开心,kāixīn
看法,kànfǎ
烤鸭,kǎoyā
考虑,kǎolǜ
棵,kē
科学,kēxué
咳嗽,késou
可怜,kělián
可是,kěshì
可惜,kěxī
客厅,kètīng
肯定,kěndìng
空,kōng
空气,kōngqì
恐怕,kǒngpà
苦,kǔ
矿泉水,kuàngquánshuǐ
困,kùn
困难,kùnnán
垃圾,lājī
桶,tǒng
垃圾桶,lājītǒng
拉,lā
辣,là
来不及,láibují
来得及,láidejí
来自,láizì
懒,lǎn
浪费,làngfèi
浪漫,làngmàn
老虎,lǎohǔ
冷静,lěngjìng
理发,lǐfà
理解,lǐjiě
理想,lǐxiǎng
礼拜天,lǐbàitiān
礼拜,lǐbài
礼貌,lǐmào
例如,lìrú
力气,lìqi
厉害,lìhai
俩,liǎ
联系,liánxì
连,lián
凉快,liángkuai
零钱,língqián
另外,lìngwài
另,lìng
另一,lìngyī
流利,liúlì
流行,liúxíng
留,liú
旅行,lǚxíng
乱,luàn
律师,lǜshī
麻烦,máfan
马虎,mǎhǔ
马,mǎ
虎,hǔ
满,mǎn
毛,máo
毛巾,máojīn
美丽,měilì
美,měi
梦,mèng
迷路,mílù
密码,mìmǎ
免费,miǎnfèi
秒,miǎo
民族,mínzú
母亲,mǔqīn
母亲节,mǔqīnjié
目的,mùdì
耐心 / 耐性,nàixīn / nàixìng
有耐心 / 有耐性,yǒunàixīn / yǒunàixìng
没有耐心 / 没有耐性,méiyǒunàixīn / méiyǒunàixìng
难道,nándào
难受,nánshòu
内,nèi
内容,nèiróng
能力,nénglì
有能力,yǒunénglì
能力高,nénglìgāo
年龄,niánlíng
弄,nòng
暖和,nuǎnhuo
保暖,bǎonuǎn
暖,nuǎn
偶尔,ǒuěr
排队,páiduì
排,pái
队,duì
排列,páiliè
判断,pànduàn
陪,péi
批评,pīpíng
皮肤,pífū
脾气,píqì
发脾气,fāpíqì
篇,piān
骗,piàn
乒乓球,pīngpāngqiú
平时,píngshí
破,pò
葡萄,pútao
普遍,pǔbiàn
普通话,pǔtōnghuà
普通,pǔtōng
其次,qícì
其中,qízhōng
气候,qìhòu
千万,qiānwàn
千万要,qiānwànyào
千万不要,qiānwànbùyào
千万别,qiānwànbié
签证,qiānzhèng
敲,qiāo
敲门,qiāomén
敲打,qiāodǎ
桥,qiáo
巧克力,qiǎokèlì
亲戚,qīnqi
轻,qīng
轻松,qīngsōng
情况,qíngkuàng
在...的情况下,zài...deqíngkuàngxià
穷,qióng
穷人,qióngrén
区别,qūbié
取,qǔ
听取,tīngqǔ
全部,quánbù
缺点,quēdiǎn
缺少,quēshǎo
却,què
确实,quèshí
然而,ránér
热闹,rènao
任何,rènhé
任务,rènwu
扔,rēng
仍然,réngrán
日记,rìjì
入口,rùkǒu
入,rù
门口,ménkǒu
散步,sànbù
森林,sēnlín
沙发,shāfā
伤心,shāngxīn
商量,shāngliang
稍微,shāowēi
勺子,sháozi
勺,sháo
社会,shèhuì
深,shēn
申请,shēnqǐng
甚至,shènzhì
生活,shēnghuó
生命,shēngmìng
生意,shēngyì
省,shěng
剩,shèng
剩下,shèngxià
失败,shībài
失望,shīwàng
师傅,shīfu
十分,shífēn
实际,shíjì
实际上,shíjìshang
实在,shízài
使,shǐ
使用,shǐyòng
世纪,shìjì
是否,shìfǒu
适应,shìyìng
收,shōu
收入,shōurù
收拾,shōushi
首都,shǒudū
首先,shǒuxiān
受不了,shòubùliǎo
不了,bùliǎo
受到,shòudào
受伤,shòushāng
受,shòu
受 + noun,shòu + noun
售货员,shòuhuòyuán
货,huò
一分钱一分货,yīfēnqiányīfēnhuò
输,shū
熟悉,shúxī
数量,shùliàng
数字,shùzì
帅,shuài
顺便,shùnbiàn
顺利,shùnlì
顺序,shùnxù
说明,shuōmíng
说明书,shuōmíngshū
硕士,shuòshì
死,sǐ
塑料,sùliào
塑料袋,sùliàodài
速度,sùdù
酸,suān
随便,suíbiàn
随着,suízhe
孙子,sūnzi
孙女,sūnnǚ
所有,suǒyǒu
台,tái
抬,tái
态度,tàidu
弹钢琴,tángāngqín
弹,tán
钢琴,gāngqín
谈,tán
谈生意,tán shēngyì
谈成生意,tán chéng shēngyì
汤,tāng
糖,táng
糖果,tángguǒ
躺,tǎng
趟,tàng
讨论,tǎolùn
讨厌,tǎoyàn
特点,tèdiǎn
提,tí
提起来,tíqǐlái
提供,tígōng
提前,tíqián
提早,tízǎo
提醒,tíxǐng
填,tián
填空,tiánkòng
条件,tiáojiàn
停,tíng
挺,tǐng
通过,tōngguò
