Hanzi,Pinyin
吧,ba
白,bái
百,bǎi
帮助,bāngzhù
帮忙,bāngmáng
报纸,bàozhǐ
比,bǐ
别,bié
别人,biérén
宾馆,bīnguǎn
长,cháng/zhǎng
唱歌,chànggē
出,chū
穿,chuān
次,cì
从,cóng
错,cuò
打篮球,dǎlánqiú
大家,dàjiā
到,dào
得,de/děi
等,děng
弟弟,dìdi
第一,dìyī
懂,dǒng
对,duì
房间,fángjiān
房子,fángzi
非常,fēicháng
服务员,fúwùyuán
高,gāo
告诉,gàosu
哥哥,gēge
哥哥弟弟,gēgedìdi
给,gěi
公共汽车,gōnggòngqìchē
公司,gōngsī
贵,guì
贵人,guìrén
过,guò
孩子,háizi
男孩,nánhái
女孩,nǚhái
小孩,xiǎohái
还,hái
好吃,hǎochī
黑,hēi
红,hóng
火车站,huǒchēzhàn
火车,huǒchē
火,huǒ
车,chē
站,zhàn
机场,jīchǎng
鸡蛋,jīdàn
件,jiàn
教室,jiàoshì
姐姐,jiějie
姐妹,jiěmèi
介绍,jièshào
近,jìn
进,jìn
就,jiù
觉得,juéde
咖啡,kāfēi
开始,kāishǐ
考试,kǎoshì
可能,kěnéng
可以,kěyǐ
课,kè
快,kuài
快乐,kuàilè
累,lèi
离,lí
两,liǎng
零,líng
路,lù
旅游,lǚyóu
买,mǎi
卖,mài
买卖,mǎimài
慢,màn
忙,máng
每,měi
妹妹,mèimei
门,mén
关门,guānmén
开门,kāimén
面条,miàntiáo
男,nán
男人,nánrén
您,nín
牛奶,niúnǎi
女,nǚ
女人,nǚrén
旁边,pángbiān
跑步,pǎobù
便宜,piányi
票,piào
妻子,qīzi
起床,qǐchuáng
起来,qǐlái
千,qiān
铅笔,qiānbǐ
晴,qíng
请,qǐng
去年,qùnián
今年,jīnnián
明年,míngnián
让,ràng
日,rì
上班,shàngbān
下班,xiàbān
身体,shēntǐ
生病,shēngbìng
生日,shēngrì
时间,shíjiān
事情,shìqing
手表,shǒubiǎo
手机,shǒujī
手,shǒu
说话,shuōhuà
送,sòng
虽然,suīrán
但是,dànshì
它,tā
踢足球,tīzúqiú
题,tí
跳舞,tiàowǔ
外,wài
完,wán
玩,wán
晚上,wǎnshang
往,wǎng
为什么,wèishénme
问,wèn
问题,wèntí
希望,xīwàng
西瓜,xīguā
洗,xǐ
洗手间,xǐshǒujiān
小时,xiǎoshí
笑,xiào
新,xīn
姓,xìng
休息,xiūxi
雪,xuě
颜色,yánsè
眼睛,yǎnjing
眼镜,yǎnjìng
羊肉,yángròu
药,yào
药店,yàodiàn
要,yào
也,yě
一下,yīxià
已经,yǐjīng
一起,yīqǐ
意思,yìsi
因为,yīnwèi
所以,suǒyǐ
阴,yīn
游泳,yóuyǒng
右边,yòubian
鱼,yú
远,yuǎn
元,yuán
运动,yùndòng
再,zài
早上,zǎoshang
丈夫,zhàngfu
夫妻,fuqī
找,zhǎo
着,zhe
真,zhēn
正在,zhèngzài
知道,zhīdào
准备,zhǔnbèi
走,zǒu
最,zuì
最近,zuìjìn
左边,zuǒbian
外面,wàimiàn
左右,zuǒyòu
不好意思,bùhǎoyìsi
开玩笑,kāiwánxiào
玩笑,wánxiào
好笑,hǎoxiào
这样,zhèyàng
可爱,kěài
